Date,Motilal_Oswal_Flexi_Cap_Fund_Direct_Growth_NAV,Union_Flexi_Cap_Fund_Direct_Growth_NAV,Polycab,Trent,Kalyan Jewellers India,JIO Financial Services,Coforge,Persistent Systems,Mahindra & Mahindra,Zomato,AIRTELPP,Cholamandalam Invest,Tube Investments of India,Bharti Airtel,Larsen & Toubro,ICICI Bank,BSE,Max Healthcare Institute,Tata Elxsi,Electrosteel Castings
2024-11-29,62.22,50.11,7297.9,6795.4,724.25,328.35,8685.85,5905.65,2966.1,279.76,1215.8,1233.95,3590.55,1627.15,3724.8,1300.1,4670.75,979.75,6670.75,152.57
2024-11-28,61.3,49.8,7149.2,6743.2,707.65,325.45,8661.05,5820.65,2898.7,286.13,1151.05,1268.35,3578.9,1560.4,3666.05,1286.35,4573.95,976.85,6757,153.92
2024-11-27,61.55,50.12,7044,6845.1,696.2,328.9,8672.9,5910.9,3004.8,284.72,1158.55,1279.15,3389.15,1577.65,3698.7,1300.7,4476.25,1006.15,6755,153.2
2024-11-26,61.07,49.88,6872.65,6669.35,693.2,326.05,8616.55,5968.95,2985.2,280.11,1160.3,1265.45,3429.2,1577.25,3702.6,1304.95,4431.1,985.75,6713.75,144.07
2024-11-25,61.01,49.9,6766.15,6774.95,702.9,323.25,8611.6,5917.7,3045.6,273.31,1164.75,1239.9,3395.3,1578.75,3753,1300.95,4686.8,971.75,6791.4,144.93
2024-11-22,60.06,49.16,6620.5,6652.8,707,313.8,8327.5,5796.25,3012.95,264.2,1156.1,1208.4,3474.4,1569.3,3603.5,1278.05,4719.95,999.95,6586.45,144.93
2024-11-21,59.26,48.29,6408.35,6460.45,711.6,314.2,8210.1,5725.5,2936.25,266.81,1110,1204.9,3543.6,1525.15,3483.5,1250.55,4695.15,990.15,6496.1,143.95
2024-11-19,59.47,48.5,6517.05,6423.85,701.25,319.35,8116.5,5710.3,2948.95,271.36,1111.9,1236,3611.3,1525.5,3505.9,1249.1,4727.35,997.8,6549,147.27
2024-11-18,58.66,48.32,6444.65,6301.65,669.4,318.8,8006.6,5646.1,2846.9,270.79,1120,1242.8,3430.6,1537,3542.15,1253.45,4706,999.85,6456,145.89
2024-11-14,58.52,48.32,6301.9,6463,653.85,318.35,8074,5713.8,2807.2,269.66,1135.95,1205.7,3440.5,1550.5,3526.25,1256.95,4547.8,1006.25,6374.55,144.28
2024-11-13,58.15,48.07,6328.25,6498.25,670,299.4,8056.2,5640.6,2798.95,258.4,1139.15,1205.05,3447.65,1550.45,3547.95,1253.7,4491.8,1001.9,6417.3,141.36
2024-11-12,59.39,48.98,6502.75,6528.55,704.3,310.25,8099.25,5680.15,2898.55,260.99,1145.45,1239.75,3561.8,1555.65,3591.35,1270.6,4678.2,1030.7,6635.5,149.13
2024-11-11,59.67,49.43,6708.4,6480.7,700.2,312,8066.9,5721.65,2930.6,258.62,1153.2,1262.55,3620.2,1560.55,3628.85,1269.3,4623.15,1025,6524.9,145.84
2024-11-08,59.69,49.52,6725.8,6298.95,693.45,316.05,7953.8,5668.7,2974.9,248.73,1163.6,1260.7,3890.55,1569.9,3660.3,1258.85,4693.9,1079.25,6940.8,151.12
2024-11-07,60.37,49.92,6816.75,6505.5,704.95,321.55,7853.35,5737.4,2891.35,255.22,1169.4,1283,3982.2,1575.8,3646.55,1278.7,4872.05,1078.75,7164.95,167.3
2024-11-06,61.04,50.44,6883.95,6955.45,699.6,326.05,7829.5,5717.65,2934.55,254.94,1188.5,1304.55,4096.8,1598.8,3645.45,1302.35,4684.55,1079.9,7232.35,168.87
2024-11-05,59.43,49.55,6632.55,6968.35,652.5,321.9,7546.5,5420.2,2899.45,241.87,1175,1283,4183.3,1578.4,3574.8,1296.7,4602.95,1044.6,7031.6,164.3
2024-11-04,59.38,49.34,6522.95,7063.75,659.35,319.85,7543.25,5358.5,2883.95,245.08,1185.15,1251.25,4346.95,1591.25,3574.45,1277.2,4413.65,1036.6,7035.1,164.3
2024-11-01,59.51,49.67,6501.8,7149,670.65,326.2,7552.7,5389,2817.65,248.99,1207.3,1283.2,4473.9,1616.45,3626.35,1291.8,4463.65,1007.55,7107.5,170.14
2024-10-31,59.51,49.72,6480.4,7128.35,657,322.3,7624.1,5372.5,2728.55,241.75,1206.6,1272.75,4481.95,1612.6,3622.3,1292.25,4465.6,1017.6,7021.85,164.76
2024-10-30,59.96,49.85,6394.35,7252.45,674.05,319.95,7742.4,5617.85,2707.7,246.85,1221,1274.5,4463.45,1633.35,3408.35,1312.15,4340.65,992.35,7101,176.59
